catalogCode,educationLevel,categoryCode,categoryName,classCode,className,majorCode,majorName,parentCode,itemLevel,source
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,,,61,农林牧渔大类,,CATEGORY,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,6101,农业类,61,CLASS,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610101,种子生产技术,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610102,作物生产技术,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610103,循环农业与再生资源利用,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610104,家庭农场生产经营,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610105,园艺技术,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610106,植物保护,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610107,茶叶生产与加工,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610108,中草药栽培,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610109,烟草栽培与加工,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610110,饲草栽培与加工,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610111,农村电气技术,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610112,设施农业生产技术,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610113,农机设备应用与维修,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610114,农产品加工与质量检测,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610115,农产品贮藏与加工,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610116,农产品营销与储运,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610117,棉花加工与检验,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610118,休闲农业生产与经营,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6101,农业类,610119,农资营销与服务,6101,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6102,林业类,6102,林业类,61,CLASS,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6102,林业类,610201,林业生产技术,6102,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6102,林业类,610202,园林技术,6102,MAJOR,中华人民共和国教育部
MOE_VOCATIONAL_2021,VOCATIONAL_SECONDARY,61,农林牧渔大类,6102,林业类,610203,园林绿化,6102,MAJOR,中华人民共和国教育部
