catalogCode,educationLevel,categoryCode,categoryName,classCode,className,majorCode,majorName,parentCode,itemLevel,source
MOE_GRADUATE_2022,GRADUATE,01,哲学,,,01,哲学,,CATEGORY,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,01,哲学,,,0101,哲学,01,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,01,哲学,,,0151,应用伦理,01,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,02,经济学,,CATEGORY,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0201,理论经济学,02,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0202,应用经济学,02,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0251,金融,02,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0252,应用统计,02,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0253,税务,02,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0254,国际商务,02,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0255,保险,02,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0256,资产评估,02,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,02,经济学,,,0258,数字经济,02,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,03,法学,,CATEGORY,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0301,法学,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0302,政治学,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0303,社会学,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0304,民族学,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0305,马克思主义理论,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0306,公安学,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0307,中共党史党建学,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0308,纪检监察学,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0351,法律,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0352,社会工作,03,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0353,警务,03,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0354,知识产权,03,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,03,法学,,,0355,国际事务,03,FIELD,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,04,教育学,,,04,教育学,,CATEGORY,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,04,教育学,,,0401,教育学,04,DISCIPLINE,中华人民共和国教育部
MOE_GRADUATE_2022,GRADUATE,04,教育学,,,0402,心理学（可授教育学、理学学位）,04,DISCIPLINE,中华人民共和国教育部
