catalogCode,educationLevel,categoryCode,categoryName,classCode,className,majorCode,majorName,parentCode,itemLevel,source
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,01,哲学,,,01,哲学,,CATEGORY,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,01,哲学,0101,哲学类,0101,哲学类,01,CLASS,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,01,哲学,0101,哲学类,010101,哲学,0101,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,01,哲学,0101,哲学类,010102,逻辑学,0101,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,01,哲学,0101,哲学类,010103K,宗教学,0101,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,01,哲学,0101,哲学类,010104T,伦理学,0101,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,,,02,经济学,,CATEGORY,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,0201,经济学类,02,CLASS,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020101,经济学,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020102,经济统计学,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020103T,国民经济管理,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020104T,资源与环境经济学,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020105T,商务经济学,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020106T,能源经济,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020107T,劳动经济学,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020108T,经济工程,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0201,经济学类,020109T,数字经济,0201,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0202,财政学类,0202,财政学类,02,CLASS,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0202,财政学类,020201K,财政学,0202,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0202,财政学类,020202,税收学,0202,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0202,财政学类,020203TK,国际税收,0202,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0203,金融学类,0203,金融学类,02,CLASS,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0203,金融学类,020301K,金融学,0203,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0203,金融学类,020302,金融工程,0203,MAJOR,中华人民共和国教育部
MOE_UNDERGRADUATE_2024,UNDERGRADUATE,02,经济学,0203,金融学类,020303,保险学,0203,MAJOR,中华人民共和国教育部
